"question","statistic","pvalue","alternative","mu"
"9",1111,1.40196672409377e-07,"greater",3
"9",874,2.32138881790903e-06,"greater",3
"9",630,8.35767339874429e-06,"greater",3
"9",478,0.000638934046522265,"greater",3
"9",777,1.47620059196217e-05,"greater",3
"10",885.5,0.000219441555201179,"greater",3
"10",505,0.0898836592273904,"greater",3
"10",406.5,0.0580765679170554,"greater",3
"10",318.5,0.90679054758375,"greater",3
"10",592,0.00603514027747963,"greater",3
"11a",939,2.24883093262793e-05,"greater",3
"11b",178,0.000125599577731882,"less",3
"11c",1086,6.11753110740002e-07,"greater",3
"11d",738.5,0.00171595483828491,"greater",3
"12a",1149,1.96820834003467e-08,"greater",3
"12b",1116,1.28165672616786e-07,"greater",3
"12c",833,0.000125951700530544,"greater",3
"12d",753,0.999999201676855,"less",3
"12e",599,0.995817124712298,"less",3
"12f",868.5,2.74647420939478e-06,"greater",3
"12g",645,0.000571232047285031,"greater",3
"13b",832,4.02423957851295e-06,"greater",3
"13c",701.5,0.00210253614021602,"greater",3
"13d",208,0.00265766015560228,"less",3
"13e",471,0.122403844290074,"greater",3
"13f",549,0.975094361052898,"less",3
"13g",1074.5,6.89392118613304e-06,"greater",3
"13h",355,0.595073279650633,"greater",3
"13i",884,8.37220215255164e-06,"greater",3
"13j",892,6.53685330025485e-06,"greater",3
"13k",886,5.11914795396584e-05,"greater",3
"14a",418,0.0416827040023999,"greater",3
"14b",269.5,0.313246636776561,"less",3
"14c",190,0.99800984106201,"greater",3
"14d",806.5,0.00413636614062839,"greater",3
"14e",272,0.566226036837272,"greater",3
"16a",990,1.71812339192519e-11,"greater",0
"16b",528,8.20448759735909e-09,"greater",0
"18",465,2.30871397845322e-08,"greater",0
"19a",312.5,0.607466988089822,"less",3
"19b",345,0.462574645744855,"less",3
"19c",131.5,0.996927574606256,"greater",3
"19d",272.5,0.239750061093477,"less",3
"19e",426,0.798290352436213,"less",3
"20",276,8.83235014232042e-07,"greater",0
"21",325,3.10425936915904e-07,"greater",0
"22",435,3.87648503589095e-08,"greater",0
"23",120,6.1339865406391e-05,"greater",0
"24",90,0.418210273411293,"less",1
"25",465,2.30871397845322e-08,"greater",0
"27",21,0.00982807862508494,"greater",0
"29",465,2.30871397845322e-08,"greater",0
"31a",82.5,5.1394893223273e-06,"less",3
"31b",56,4.87606864822097e-07,"less",3
"31c",37.5,0.99999988744646,"greater",3
"31d",150,0.99995335284435,"greater",3
"31e",82.5,3.9455201508714e-05,"less",3
"31f",72,0.99996327678903,"greater",3
"31g",145,0.999877125455968,"greater",3
"31h",261,0.820153496624834,"greater",3
"31i",244.5,0.99791027899479,"greater",3
"31j",112.5,0.999900522329641,"greater",3
"31k",163.5,0.000109885794994465,"less",3
"31l",232,0.993291940508047,"greater",3
"31m",222,0.986895704696229,"greater",3
"31n",396,0.354849847208063,"greater",3
"31o",380.5,0.82094268042392,"greater",3
"32a",497,0.512194805580186,"less",3
"32b",698.5,0.000704514891352866,"greater",3
"32c",454.5,0.17843016672912,"greater",3
"32d",289.5,0.3143529726151,"greater",3
"32e",909,2.59449423470298e-06,"greater",3
"32f",143,0.00109681330437649,"less",3
"32g",352,0.169627083272372,"greater",3
"32h",690,0.000275358415407773,"greater",3
"32i",856,2.48606474365646e-05,"greater",3
"32j",403,0.316503439661858,"greater",3
"32k",715.5,0.000337103679477958,"greater",3
"32l",427.5,0.598585341711747,"less",3
"32m",402,0.217306703571773,"greater",3
"32n",87,8.2845502818597e-07,"less",3
"32o",107.5,1.46136128397348e-05,"less",3
"32p",591.5,0.0154729823891664,"greater",3
"32q",269.5,0.122481023905598,"greater",3
"32r",103.5,0.000457689128085187,"less",3
"32s",657,0.0109430125883526,"greater",3
"32t",467.5,0.0148841573467578,"greater",3
"32u",181.5,0.0204763938269958,"less",3
"12h-1",19.5,0.380453363537557,"less",3
"12h-2,3,6",34.5,0.00947905004762476,"greater",3
"12i-2,3,6",12.5,0.101545893788584,"greater",3
"12i-1",19,0.585703462390677,"less",3
"13a-1,2,3",4,0.425053369569263,"less",3
"13a-7",97.5,0.156952000466054,"greater",3
"26,v_208, 7",55,0.000952097521502195,"greater",0
"26,v_209, 7",1,0.5,"greater",0
"26, v_211-1,2,3",10,0.0359303191129258,"greater",0
